Name,Required,Type,Restrictions,Valid Values
"Search Terms","Desired","String","maxLength:250;minLength:1",""
"MSRP (Currency)","Desired","Enum","","AED;AUD;BRL;CAD;CNY;EGP;EUR;GBP;INR;JPY;MXN;PLN;SAR;SEK;SGD;TRY;USD"
"PARTSLINK Number","Optional","String","minLength:9;maxLength:9",""
"Package Weight (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2;minInclusive:0.00",""
"Shipping Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12;minInclusive:0.00",""
"Condition Type","Required","Enum","","Club;CollectibleAcceptable;CollectibleGood;CollectibleLikeNew;CollectibleVeryGood;New;NewOem;NewOpenBox;Refurbished;UsedAcceptable;UsedGood;UsedLikeNew;UsedVeryGood"
"MAP (Currency)","Desired","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Sale Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Pitch Circle Diameter (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Promotion Keywords","Optional","String","maxLength:50;minLength:1",""
"Offset (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"MAP (Value)","Desired","Decimal","fractionDigits:4;totalDigits:20",""
"Diameter (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Section Width (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Rim Diameter (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Mfr Part Number","Required","String","minLength:1;maxLength:40",""
"MSRP With Tax (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;EGP;EUR;GBP;INR;JPY;MXN;PLN;SAR;SEK;SGD;TRY;USD"
"Number Of Holes","Optional","Integer","minInclusive:1",""
"Other Item Attributes","Optional","String","minLength:1;maxLength:500",""
"Seller Warranty Description","Optional","String","minLength:1;maxLength:1000",""
"Package Dimensions - Length (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Max Aggregate Ship Quantity","Optional","Integer","minInclusive:1",""
"Hollander Number","Optional","String","maxLength:40;minLength:1",""
"Number Of Grooves","Optional","Integer","minInclusive:1",""
"Item Package Quantity","Optional","Integer","minInclusive:1",""
"Battery Charge Time","Optional","Decimal","fractionDigits:2;minInclusive:0.00;totalDigits:12",""
"CAPA Certified","Optional","String","minLength:1;maxLength:50",""
"Item Dimensions - Length (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Number Of Items","Desired","Integer","minInclusive:1",""
"Section Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
