Name,Required,Type,Restrictions,Valid Values
"Search Terms","Desired","String","maxLength:250;minLength:1",""
"MSRP (Currency)","Desired","Enum","","AED;AUD;BRL;CAD;CNY;EGP;EUR;GBP;INR;JPY;MXN;PLN;SAR;SEK;SGD;TRY;USD"
"Package Weight (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2;minInclusive:0.00",""
"Shipping Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12;minInclusive:0.00",""
"Condition Type","Required","Enum","","Club;CollectibleAcceptable;CollectibleGood;CollectibleLikeNew;CollectibleVeryGood;New;NewOem;NewOpenBox;Refurbished;UsedAcceptable;UsedGood;UsedLikeNew;UsedVeryGood"
"MAP (Currency)","Desired","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Sale Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Mfr Part Number","Required","String","minLength:1;maxLength:40",""
"Promotion Keywords","Optional","String","maxLength:50;minLength:1",""
"MSRP With Tax (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;EGP;EUR;GBP;INR;JPY;MXN;PLN;SAR;SEK;SGD;TRY;USD"
"MAP (Value)","Desired","Decimal","fractionDigits:4;totalDigits:20",""
"Max Aggregate Ship Quantity","Optional","Integer","minInclusive:1",""
"Other Item Attributes","Optional","String","minLength:1;maxLength:500",""
"Package Dimensions - Length (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Manufacturer","Required","String","maxLength:100",""
"Legal Disclaimer","Optional","String","maxLength:2500",""
"Item Dimensions - Length (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Number Of Items","Desired","Integer","minInclusive:1",""
"FEDAS ID","Optional","String","length:6",""
"Package Dimensions - Height (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Package Dimensions - Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Package Dimensions - Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Description","Required","String","maxLength:2000",""
"Merchant Catalog Number","Optional","String","maxLength:40;minLength:1",""
"Standard Price (Value)","Required","Decimal","fractionDigits:4;totalDigits:20",""
"Package Dimensions - Height (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Target Audience","Optional","String","maxLength:50;minLength:1",""
"Package Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Item Dimensions - Width (Value)","Desired","Decimal","totalDigits:12;fractionDigits:2",""
"Item Dimensions - Height (Unit)","Desired","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"MSRP (Value)","Desired","Decimal","fractionDigits:2;totalDigits:20",""
"Title","Required","String","minLength:1;maxLength:500",""
